s_no,word,lemma,morph,Coarse,dep_tag,to_node
0,aTa,aTa,ind.,NA,sambanxah,14
1,acyutaH,acyuta,nom. sg. m.,NA,karwa,14
2,visAriBiH,visArin,i. pl. m.,NA,viseranam,3
3,dvijaAvalivyAjaniSAkaraaMSuBiH,dvija-Avali-vyAja-niSAkara-aMSu,i. pl. m.,NA,karanam,11
4,sitaM,sita,acc. sg. n.,NA,viseranam,6
5,muneH,muni,g. sg. m.,NA,rartisambanxah,6
6,vapuH,vapus,acc. pl. n.,NA,karma,11
7,sODam,sODa,acc. sg. m.,NA,prawiyogi,8
8,iva,iva,ind.,NA,anuyogi,9
9,sutarAM,sutarA,ind.,NA,kriyaviseranam,11
10,sitimnA,sitiman,i. sg. m.,NA,karwa,11
11,lamBayan,laB1,ppr. ac,NA,bavalakranasapwami_samanakalah,14
12,SucismitAM,SucismitA,acc. sg. f.,NA,viseranam,13
13,vAcam,vAc,acc. sg. f.,NA,karma,14
14,avocat,vac1,aor. ac. sg. 3,NA,,
